Компания(последняя дата покупки дивидендов);Минимальная стоимость за месяц перед последней датой;Стоимость акции в последний день;Стоимость акции на следующий день после последней даты;Максимальная стоимость за месяц после последней даты;
МТС (MTSS 2016-10-12);227.50p. (+2.15%) 8 рабоч.дней_перед;232.40;221.75;224.30p. (-3.49%) 20 рабоч.дней_после
Северсталь (CHMF 2016-12-09);878.00p. (+14.58%) 22 рабоч.дней_перед;1006.00;968.90;978.00p. (-2.78%) 2 рабоч.дней_после
Юнипро (UPRO 2016-12-15);2.74p. (+8.39%) 22 рабоч.дней_перед;2.97;2.86;3.00p. (+0.91%) 18 рабоч.дней_после
ЛУКОЙЛ (LKOH 2016-12-21);3112.00p. (+10.51%) 21 рабоч.дней_перед;3439.00;3368.00;3575.00p. (+3.95%) 8 рабоч.дней_после
Магнит (MGNT 2016-12-21);10220.00p. (+4.47%) 16 рабоч.дней_перед;10676.90;10340.20;11269.80p. (+5.55%) 8 рабоч.дней_после
НЛМК (NLMK 2017-01-05);109.42p. (+6.01%) 17 рабоч.дней_перед;116.00;112.14;120.09p. (+3.53%) 19 рабоч.дней_после
ФосАгро (PHOR 2017-01-25);2540.00p. (+10.98%) 19 рабоч.дней_перед;2819.00;2799.00;2892.00p. (+2.59%) 6 рабоч.дней_после
НОВАТЭК (NVTK 2017-04-27);678.80p. (+2.70%) 6 рабоч.дней_перед;697.10;695.40;696.00p. (-0.16%) 5 рабоч.дней_после
Банк ВТБ (VTBR 2017-05-04);0.06p. (+4.84%) 10 рабоч.дней_перед;0.07;0.07;0.07p. (+0.16%) 11 рабоч.дней_после
Московская Биржа (MOEX 2017-05-12);104.35p. (+10.54%) 17 рабоч.дней_перед;115.35;108.90;108.90p. (-5.59%) 1 рабоч.дней_после
Банк Санкт-Петербург (BSPB 2017-05-29);58.77p. (+2.26%) 4 рабоч.дней_перед;60.10;59.17;60.30p. (+0.33%) 2 рабоч.дней_после
Корпорация ВСМПО-АВИСМА (VSMO 2017-06-01);15480.00p. (+2.58%) 12 рабоч.дней_перед;15880.00;14310.00;14940.00p. (-5.92%) 20 рабоч.дней_после
ММК (MAGN 2017-06-02);30.60p. (+0.98%) 1 рабоч.дней_перед;30.90;29.81;33.51p. (+8.43%) 18 рабоч.дней_после
ФосАгро (PHOR 2017-06-08);2264.00p. (-0.18%) 2 рабоч.дней_перед;2260.00;2260.00;2379.00p. (+5.27%) 20 рабоч.дней_после
НЛМК (NLMK 2017-06-09);103.80p. (+5.19%) 20 рабоч.дней_перед;109.19;104.89;121.00p. (+10.82%) 18 рабоч.дней_после
Мосэнерго (MSNG 2017-06-09);2.24p. (+3.68%) 16 рабоч.дней_перед;2.33;2.36;2.36p. (+1.27%) 1 рабоч.дней_после
Сбербанк, АП (SBERP 2017-06-09);122.40p. (-0.12%) 1 рабоч.дней_перед;122.25;116.55;125.50p. (+2.66%) 19 рабоч.дней_после
Сбербанк (SBER 2017-06-09);151.93p. (-1.18%) 1 рабоч.дней_перед;150.13;146.00;152.16p. (+1.35%) 19 рабоч.дней_после
МРСК Центра и Приволжья (MRKP 2017-06-14);0.15p. (+18.30%) 16 рабоч.дней_перед;0.18;0.17;0.19p. (+7.93%) 18 рабоч.дней_после
Группа ЛСР (LSRG 2017-06-16);870.00p. (+1.49%) 1 рабоч.дней_перед;883.00;796.00;869.00p. (-1.59%) 15 рабоч.дней_после
ОАО МРСК Урала (MRKU 2017-06-16);0.13p. (+11.94%) 22 рабоч.дней_перед;0.15;0.15;0.15p. (+0.67%) 8 рабоч.дней_после
ТМК (TRMK 2017-06-16);74.27p. (+0.94%) 21 рабоч.дней_перед;74.97;74.30;77.66p. (+3.59%) 7 рабоч.дней_после
ОГК-2 (OGKB 2017-06-16);0.34p. (+11.98%) 18 рабоч.дней_перед;0.38;0.38;0.48p. (+25.56%) 18 рабоч.дней_после
Северсталь (CHMF 2017-06-16);689.50p. (+3.99%) 2 рабоч.дней_перед;717.00;684.20;843.90p. (+17.70%) 18 рабоч.дней_после
МРСК Центра (MRKC 2017-06-19);0.43p. (+10.74%) 17 рабоч.дней_перед;0.48;0.43;0.45p. (-5.42%) 22 рабоч.дней_после
МОЭСК (MSRS 2017-06-19);0.82p. (+0.73%) 1 рабоч.дней_перед;0.83;0.80;0.85p. (+2.18%) 19 рабоч.дней_после
Магнит (MGNT 2017-06-21);8814.64p. (+7.03%) 12 рабоч.дней_перед;9434.39;9272.50;9653.89p. (+2.33%) 17 рабоч.дней_после
ГМК Норильский никель (GMKN 2017-06-21);7791.00p. (+6.40%) 13 рабоч.дней_перед;8290.00;7850.00;8693.00p. (+4.86%) 20 рабоч.дней_после
МРСК Волги (MRKV 2017-06-22);0.07p. (+6.34%) 22 рабоч.дней_перед;0.07;0.07;0.08p. (+13.40%) 20 рабоч.дней_после
МРСК Северо-Запада (MRKZ 2017-06-22);0.04p. (+1.54%) 4 рабоч.дней_перед;0.04;0.04;0.05p. (+26.33%) 21 рабоч.дней_после
Энел Россия (ENRU 2017-06-26);1.03p. (+11.33%) 20 рабоч.дней_перед;1.15;1.11;1.26p. (+9.48%) 22 рабоч.дней_после
НК Роснефть (ROSN 2017-06-29);301.00p. (+10.63%) 18 рабоч.дней_перед;333.00;323.00;332.40p. (-0.18%) 3 рабоч.дней_после
Юнипро (UPRO 2017-06-30);2.50p. (+0.28%) 6 рабоч.дней_перед;2.51;2.42;2.47p. (-1.40%) 13 рабоч.дней_после
ЦМТ, АП (WTCMP 2017-07-03);6.08p. (+7.73%) 19 рабоч.дней_перед;6.55;5.78;6.20p. (-5.34%) 23 рабоч.дней_после
ЦМТ (WTCM 2017-07-03);7.80p. (+6.41%) 12 рабоч.дней_перед;8.30;8.00;8.35p. (+0.60%) 11 рабоч.дней_после
Татнефть им. В.Д. Шашина (TATN 2017-07-05);350.10p. (+10.97%) 13 рабоч.дней_перед;388.50;370.95;392.60p. (+1.06%) 21 рабоч.дней_после
Татнефть им. В.Д. Шашина, АП (TATNP 2017-07-05);260.00p. (+10.77%) 14 рабоч.дней_перед;288.00;269.00;272.70p. (-5.31%) 10 рабоч.дней_после
Ростелеком, АП (RTKMP 2017-07-05);54.10p. (+8.04%) 14 рабоч.дней_перед;58.45;53.80;53.80p. (-7.96%) 1 рабоч.дней_после
Ростелеком (RTKM 2017-07-05);69.31p. (+3.71%) 14 рабоч.дней_перед;71.88;67.52;67.52p. (-6.07%) 1 рабоч.дней_после
ТГК-1 (TGKA 2017-07-05);0.01p. (+10.48%) 14 рабоч.дней_перед;0.01;0.01;0.01p. (+5.78%) 6 рабоч.дней_после
РусГидро (HYDR 2017-07-06);0.75p. (+9.79%) 11 рабоч.дней_перед;0.82;0.78;0.81p. (-1.59%) 3 рабоч.дней_после
ЛУКОЙЛ (LKOH 2017-07-06);2685.00p. (+11.17%) 14 рабоч.дней_перед;2985.00;2856.00;2938.00p. (-1.57%) 19 рабоч.дней_после
МТС (MTSS 2017-07-06);232.00p. (+2.39%) 7 рабоч.дней_перед;237.55;224.05;243.30p. (+2.42%) 20 рабоч.дней_после
Мечел, АП (MTLRP 2017-07-07);100.30p. (+21.73%) 15 рабоч.дней_перед;122.10;116.40;117.05p. (-4.14%) 2 рабоч.дней_после
Акрон (AKRN 2017-07-07);2917.00p. (+11.42%) 16 рабоч.дней_перед;3250.00;3176.00;3325.00p. (+2.31%) 16 рабоч.дней_после
КАМАЗ (KMAZ 2017-07-10);49.90p. (+3.21%) 16 рабоч.дней_перед;51.50;51.45;54.05p. (+4.95%) 21 рабоч.дней_после
Аэрофлот (AFLT 2017-07-12);174.65p. (+28.83%) 18 рабоч.дней_перед;225.00;211.50;214.70p. (-4.58%) 6 рабоч.дней_после
ФосАгро (PHOR 2017-07-13);2169.00p. (+8.85%) 21 рабоч.дней_перед;2361.00;2341.00;2424.00p. (+2.67%) 21 рабоч.дней_после
Полюс (PLZL 2017-07-13);3907.65p. (+3.87%) 6 рабоч.дней_перед;4059.00;3925.81;4300.00p. (+5.94%) 21 рабоч.дней_после
