Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
Интер РАО (IRAO 2018-05-30);17;+5.62%;4.05;4.08;+3.93%;4
Банк ВТБ (VTBR 2018-05-31);4;-2.39%;0.05;0.05;-3.77%;20
Банк Санкт-Петербург (BSPB 2018-05-31);20;-0.20%;50.60;50.70;+1.28%;2
Корпорация ВСМПО-АВИСМА (VSMO 2018-06-04);17;+3.16%;17640.00;17060.00;-3.29%;1
САФМАР Финансовые инвестиции (SFIN 2018-06-06);21;+2.48%;702.00;679.00;+7.55%;6
Полюс (PLZL 2018-06-08);16;+3.03%;3812.00;3830.00;+10.34%;14
МРСК Центра и Приволжья (MRKP 2018-06-09);9;-9.22%;0.31;0.31;-1.13%;1
ФосАгро (PHOR 2018-06-09);1;+0.65%;2315.00;2322.00;+1.99%;19
ММК (MAGN 2018-06-09);18;+10.20%;48.60;48.23;-0.75%;3
МРСК Волги (MRKV 2018-06-09);11;-1.49%;0.12;0.12;-0.33%;1
МРСК Центра (MRKC 2018-06-09);8;+0.73%;0.34;0.35;+1.74%;1
ОАО МРСК Урала (MRKU 2018-06-09);9;-3.09%;0.20;0.20;-0.25%;1
Акрон (AKRN 2018-06-11);11;+3.46%;4423.00;4265.00;-0.90%;18
Мосэнерго (MSNG 2018-06-14);3;+4.38%;2.56;2.42;-5.27%;1
МОЭСК (MSRS 2018-06-14);9;+1.97%;0.72;0.70;-3.32%;1
МРСК Сибири (MRKS 2018-06-15);20;+3.35%;0.11;0.10;+0.93%;14
Северсталь (CHMF 2018-06-15);16;+6.25%;1039.40;964.60;-6.88%;16
НЛМК (NLMK 2018-06-18);17;+4.89%;167.30;153.68;-3.71%;22
Энел Россия (ENRU 2018-06-20);13;+2.46%;1.46;1.29;-10.24%;2
ТГК-1 (TGKA 2018-06-21);2;+0.63%;0.01;0.01;-2.59%;17
Сбербанк, АП (SBERP 2018-06-22);3;+3.95%;190.75;179.90;+2.23%;12
Сбербанк (SBER 2018-06-22);3;+4.12%;214.48;202.51;+7.59%;11
НК Роснефть (ROSN 2018-06-28);22;+4.12%;395.20;396.15;+4.67%;8
ТМК (TRMK 2018-06-28);2;+0.78%;77.80;76.15;-1.99%;2
МОСТОТРЕСТ (MSTT 2018-06-29);2;-0.37%;107.00;105.50;+7.57%;20
Юнипро (UPRO 2018-06-29);10;+5.36%;2.91;2.81;-0.24%;9
Аэрофлот (AFLT 2018-07-04);21;+2.12%;140.00;129.20;-7.46%;2
Магнит (MGNT 2018-07-04);7;+1.76%;4630.00;4528.00;-1.73%;2
Татнефть им. В.Д. Шашина (TATN 2018-07-04);12;+6.73%;684.15;686.00;+6.70%;22
Татнефть им. В.Д. Шашина, АП (TATNP 2018-07-04);19;+0.55%;458.40;454.50;+7.79%;22
